Category1,Category2,KNOW직업명
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),유리·유리제품생산기계조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),점토제품생산기계조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),시멘트·광물제품생산기계조작원
기술·현장형,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),광석·석제품생산기계조작원
기술·현장형,전기·전자 설치·정비·생산직,산업전기공
기술·현장형,전기·전자 설치·정비·생산직,내선전기공
기술·현장형,전기·전자 설치·정비·생산직,외선전기공
기술·현장형,전기·전자 설치·정비·생산직,사무용 전자기기설치·수리원
기술·현장형,전기·전자 설치·정비·생산직,가전제품설치·수리원
기술·현장형,전기·전자 설치·정비·생산직,발전·배전장치조작원
기술·현장형,전기·전자 설치·정비·생산직,전기·전자설비조작원
기술·현장형,전기·전자 설치·정비·생산직,전기부품·제품생산기계조작원
기술·현장형,전기·전자 설치·정비·생산직,전자부품·제품생산기계조작원
기술·현장형,전기·전자 설치·정비·생산직,전기·전자부품·제품조립원
기술·현장형,정보통신 설치·정비직,컴퓨터설치·수리원
기술·현장형,정보통신 설치·정비직,이동전화기수리원
기술·현장형,정보통신 설치·정비직,방송장비설치·수리원
기술·현장형,정보통신 설치·정비직,통신장비설치·수리원
기술·현장형,정보통신 설치·정비직,방송·통신·인터넷케이블 설치·수리원
기술·현장형,화학·환경 설치·정비·생산직,석유·천연가스제조제어장치조작원
기술·현장형,화학·환경 설치·정비·생산직,화학물가공장치조작원
기술·현장형,화학·환경 설치·정비·생산직,타이어·고무제품생산기계조작원
기술·현장형,화학·환경 설치·정비·생산직,플라스틱제품생산기계조작원
기술·현장형,화학·환경 설치·정비·생산직,화학제품생산기계조작원(고무·플라스틱 제외)
기술·현장형,화학·환경 설치·정비·생산직,고무·플라스틱 제품 조립원
기술·현장형,화학·환경 설치·정비·생산직,상·하수도처리장치조작원
기술·현장형,화학·환경 설치·정비·생산직,재활용 처리장치·소각로조작원
기술·현장형,섬유·의복 생산직,섬유제조기계조작원
기술·현장형,섬유·의복 생산직,직조기·편직기조작원
기술·현장형,섬유·의복 생산직,표백·염색기조작원
기술·현장형,섬유·의복 생산직,패턴사
기술·현장형,섬유·의복 생산직,재단사
기술·현장형,섬유·의복 생산직,재봉사
기술·현장형,섬유·의복 생산직,한복제조원
기술·현장형,섬유·의복 생산직,양장·양복제조원
기술·현장형,섬유·의복 생산직,의복·가죽·모피수선원
기술·현장형,섬유·의복 생산직,제화원
기술·현장형,섬유·의복 생산직,신발제조기계조작원 및 조립원
기술·현장형,섬유·의복 생산직,세탁기계조작원
기술·현장형,식품 가공·생산직,제과·제빵원
기술·현장형,식품 가공·생산직,떡제조원
기술·현장형,식품 가공·생산직,정육원 및 도축원
기술·현장형,식품 가공·생산직,김치·밑반찬 제조종사원
기술·현장형,식품 가공·생산직,식품·담배등급원
기술·현장형,식품 가공·생산직,육류·어패류·낙농품가공기계조작원
기술·현장형,식품 가공·생산직,제분·도정기계조작원
기술·현장형,식품 가공·생산직,곡물가공제품기계조작원
기술·현장형,식품 가공·생산직,과실·채소기계조작원
기술·현장형,식품 가공·생산직,음료제조기계조작원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,인쇄기계조작원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,사진인화·현상기조작원(사진수정 포함)
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,목재가공기계조작원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,펄프·종이제조장치조작원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,종이제품생산기계조작원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,가구제조·수리원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,가구조립원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,공예원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,귀금속·보석세공원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,악기제조원 및 조율사
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,간판제작·설치원
기술·현장형,인쇄·목재·공예 및 기타 설치·정비·생산직,포장원
기술·현장형,농림어업직,곡식작물재배원
기술·현장형,농림어업직,채소·특용작물재배원
기술·현장형,농림어업직,과수작물재배원
기술·현장형,농림어업직,원예작물재배원
기술·현장형,농림어업직,조경원
기술·현장형,농림어업직,낙농종사원
기술·현장형,농림어업직,가축사육종사원
기술·현장형,농림어업직,조림·산림경영인 및 벌목원
기술·현장형,농림어업직,양식원
기술·현장형,농림어업직,어부 및 해녀
조직·경영형,금융·보험직,투자분석가
조직·경영형,금융·보험직,신용분석가
조직·경영형,금융·보험직,자산운용가
조직·경영형,금융·보험직,보험상품개발자
조직·경영형,금융·보험직,금융상품개발자
조직·경영형,금융·보험직,증권딜러
조직·경영형,금융·보험직,손해사정사
조직·경영형,금융·보험직,은행사무원
조직·경영형,금융·보험직,증권사무원
조직·경영형,금융·보험직,보험심사원
조직·경영형,금융·보험직,보험보상사무원
조직·경영형,금융·보험직,출납창구사무원
조직·경영형,금융·보험직,신용추심원
조직·경영형,금융·보험직,보험대리인 및 중개인
조직·경영형,금융·보험직,보험모집인
분석·연구형,인문·사회과학 연구직,철학연구원
분석·연구형,인문·사회과학 연구직,역사학연구원
분석·연구형,인문·사회과학 연구직,언어학연구원
분석·연구형,인문·사회과학 연구직,교육학연구원
분석·연구형,인문·사회과학 연구직,심리학연구원
분석·연구형,인문·사회과학 연구직,정치학연구원
분석·연구형,인문·사회과학 연구직,경제학연구원
분석·연구형,인문·사회과학 연구직,사회학연구원
분석·연구형,자연·생명과학 연구직,물리학연구원
분석·연구형,자연·생명과학 연구직,화학연구원
분석·연구형,자연·생명과학 연구직,수학·통계학연구원
분석·연구형,자연·생명과학 연구직,생물학연구원
분석·연구형,자연·생명과학 연구직,지질학연구원
분석·연구형,자연·생명과학 연구직,천문·기상학연구원
분석·연구형,자연·생명과학 연구직,자연과학시험원
분석·연구형,자연·생명과학 연구직,의학연구원
분석·연구형,자연·생명과학 연구직,약학연구원
분석·연구형,자연·생명과학 연구직,농학연구원
분석·연구형,자연·생명과학 연구직,수산학연구원
분석·연구형,자연·생명과학 연구직,임학·산림학연구원
분석·연구형,자연·생명과학 연구직,축산학·수의학연구원
분석·연구형,자연·생명과학 연구직,생명과학시험원
분석·연구형,자연·생명과학 연구직,농림어업시험원
분석·연구형,정보통신 연구개발직 및 공학기술직,컴퓨터하드웨어기술자 및 연구원
분석·연구형,정보통신 연구개발직 및 공학기술직,통신기기·장비기술자
분석·연구형,정보통신 연구개발직 및 공학기술직,통신기술개발자 
분석·연구형,정보통신 연구개발직 및 공학기술직,통신망운영기술자
분석·연구형,정보통신 연구개발직 및 공학기술직,컴퓨터시스템설계 및 분석가
분석·연구형,정보통신 연구개발직 및 공학기술직,정보통신컨설턴트 및 감리원
분석·연구형,정보통신 연구개발직 및 공학기술직,시스템소프트웨어개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,응용소프트웨어개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,가상현실전문가
분석·연구형,정보통신 연구개발직 및 공학기술직,게임프로그래머
분석·연구형,정보통신 연구개발직 및 공학기술직,모바일앱개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,웹개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,웹기획자
분석·연구형,정보통신 연구개발직 및 공학기술직,IT테스터 및 QA전문가(SW테스터)
분석·연구형,정보통신 연구개발직 및 공학기술직,데이터베이스개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,빅데이터분석가
분석·연구형,정보통신 연구개발직 및 공학기술직,네트워크시스템개발자
분석·연구형,정보통신 연구개발직 및 공학기술직,정보시스템운영자
분석·연구형,정보통신 연구개발직 및 공학기술직,네트워크관리자
분석·연구형,정보통신 연구개발직 및 공학기술직,IT기술지원전문가
분석·연구형,정보통신 연구개발직 및 공학기술직,웹운영자
분석·연구형,정보통신 연구개발직 및 공학기술직,정보보안전문가
분석·연구형,정보통신 연구개발직 및 공학기술직,통신장비기사
분석·연구형,정보통신 연구개발직 및 공학기술직,방송송출장비기사
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축가(건축설계사)
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축구조기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축설비기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축감리기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축안전·환경·품질·에너지관리기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,건축시공기술자 및 견적원
분석·연구형,건설·채굴 연구개발직 및 공학기술직,토목구조설계기술자
분석·연구형,건설·채굴 연구개발직 및 공학기술직,토목감리기술자
사람·서비스형,교육직,컴퓨터강사
사람·서비스형,교육직,기술·기능계강사
사람·서비스형,교육직,예능강사
사람·서비스형,교육직,학습지·교육교구방문강사
사람·서비스형,교육직,교재·교구개발원
조직·경영형,법률직,판사
조직·경영형,법률직,검사
조직·경영형,법률직,변호사
조직·경영형,법률직,법무사 및 집행관
조직·경영형,법률직,변리사
조직·경영형,법률직,법률사무원
사람·서비스형,사회복지·종교직,사회복지사
사람·서비스형,사회복지·종교직,심리상담전문가
사람·서비스형,사회복지·종교직,청소년지도사
사람·서비스형,사회복지·종교직,직업상담사
사람·서비스형,사회복지·종교직,사회단체활동가
사람·서비스형,사회복지·종교직,보육교사
사람·서비스형,사회복지·종교직,생활지도원
조직·경영형,경찰·소방·교도직,경찰관
조직·경영형,경찰·소방·교도직,해양경찰관
조직·경영형,경찰·소방·교도직,소방관
조직·경영형,경찰·소방·교도직,교도관
조직·경영형,군인,위관급 장교
조직·경영형,군인,부사관
사람·서비스형,보건·의료직,내과의사
사람·서비스형,보건·의료직,외과의사
사람·서비스형,보건·의료직,성형외과의사
사람·서비스형,보건·의료직,산부인과의사
사람·서비스형,보건·의료직,이비인후과의사
사람·서비스형,보건·의료직,안과의사
사람·서비스형,보건·의료직,정신과의사
사람·서비스형,보건·의료직,소아과의사
사람·서비스형,보건·의료직,방사선과의사
사람·서비스형,보건·의료직,마취병리과의사
사람·서비스형,보건·의료직,비뇨기과의사
사람·서비스형,보건·의료직,피부과의사
사람·서비스형,보건·의료직,가정의학과의사
사람·서비스형,보건·의료직,일반의사
사람·서비스형,보건·의료직,한의사
사람·서비스형,보건·의료직,치과의사
사람·서비스형,보건·의료직,수의사
사람·서비스형,보건·의료직,약사
사람·서비스형,보건·의료직,한약사
사람·서비스형,보건·의료직,보건교사
사람·서비스형,보건·의료직,간호사
사람·서비스형,보건·의료직,영양사
사람·서비스형,보건·의료직,임상병리사
사람·서비스형,보건·의료직,방사선사
사람·서비스형,보건·의료직,치과기공사
사람·서비스형,보건·의료직,치과위생사
사람·서비스형,보건·의료직,물리치료사
사람·서비스형,보건·의료직,작업치료사
사람·서비스형,보건·의료직,임상심리사
사람·서비스형,보건·의료직,재활공학기사
사람·서비스형,보건·의료직,언어치료사
사람·서비스형,보건·의료직,청능치료사
사람·서비스형,보건·의료직,놀이치료사
사람·서비스형,보건·의료직,예술치료사
사람·서비스형,보건·의료직,응급구조사
사람·서비스형,보건·의료직,안경사
사람·서비스형,보건·의료직,보건의료정보관리사
사람·서비스형,보건·의료직,간호조무사
사람·서비스형,보건·의료직,안마사
창의·예술형,예술·디자인·방송직,소설가
창의·예술형,예술·디자인·방송직,영화시나리오작가
창의·예술형,예술·디자인·방송직,방송작가
창의·예술형,예술·디자인·방송직,번역가
창의·예술형,예술·디자인·방송직,통역가
창의·예술형,예술·디자인·방송직,출판물기획자
창의·예술형,예술·디자인·방송직,신문기자
창의·예술형,예술·디자인·방송직,방송기자
창의·예술형,예술·디자인·방송직,잡지기자
창의·예술형,예술·디자인·방송직,학예사
창의·예술형,예술·디자인·방송직,문화재보존원
창의·예술형,예술·디자인·방송직,사서
창의·예술형,예술·디자인·방송직,기록물관리사
창의·예술형,예술·디자인·방송직,화가
창의·예술형,예술·디자인·방송직,조각가
창의·예술형,예술·디자인·방송직,사진작가 및 사진사
창의·예술형,예술·디자인·방송직,만화가
창의·예술형,예술·디자인·방송직,만화영화작가(애니메이터)
창의·예술형,예술·디자인·방송직,국악인
창의·예술형,예술·디자인·방송직,지휘자
창의·예술형,예술·디자인·방송직,작곡가
창의·예술형,예술·디자인·방송직,연주가
창의·예술형,예술·디자인·방송직,가수
창의·예술형,예술·디자인·방송직,성악가
창의·예술형,예술·디자인·방송직,무용가
창의·예술형,예술·디자인·방송직,안무가
창의·예술형,예술·디자인·방송직,대중무용수
창의·예술형,예술·디자인·방송직,제품디자이너
창의·예술형,예술·디자인·방송직,의상디자이너
창의·예술형,예술·디자인·방송직,패션소품디자이너
창의·예술형,예술·디자인·방송직,실내장식디자이너
창의·예술형,예술·디자인·방송직,시각디자이너
창의·예술형,예술·디자인·방송직,웹디자이너
창의·예술형,예술·디자인·방송직,게임그래픽디자이너
창의·예술형,예술·디자인·방송직,영상그래픽디자이너
창의·예술형,예술·디자인·방송직,UX·UI디자이너
창의·예술형,예술·디자인·방송직,방송연출가
창의·예술형,예술·디자인·방송직,영화감독
창의·예술형,예술·디자인·방송직,연극연출가
창의·예술형,예술·디자인·방송직,광고영상감독
창의·예술형,예술·디자인·방송직,기술감독
창의·예술형,예술·디자인·방송직,영화배우 및 탤런트
창의·예술형,예술·디자인·방송직,모델
창의·예술형,예술·디자인·방송직,연극·뮤지컬배우
창의·예술형,예술·디자인·방송직,개그맨 및 코미디언
창의·예술형,예술·디자인·방송직,성우
창의·예술형,예술·디자인·방송직,아나운서
창의·예술형,예술·디자인·방송직,리포터
창의·예술형,예술·디자인·방송직,촬영기사
창의·예술형,예술·디자인·방송직,음향·녹음기사
창의·예술형,예술·디자인·방송직,영상·녹화·편집기사
창의·예술형,예술·디자인·방송직,조명기사
창의·예술형,예술·디자인·방송직,웹방송전문가(콘텐츠제작자)
창의·예술형,예술·디자인·방송직,연예인매니저
